"Age","DHB","demography","measure","number","QtYR","Demogfacet"
"6 months","National Total","DepTotal","eligible","15786","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Auckland","DepTotal","eligible","1324","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Bay of Plenty","DepTotal","eligible","879","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Canterbury","DepTotal","eligible","1724","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Capital and Coast","DepTotal","eligible","806","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Counties Manukau","DepTotal","eligible","2199","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Hawkes Bay","DepTotal","eligible","573","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Hutt Valley","DepTotal","eligible","527","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Lakes","DepTotal","eligible","412","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","MidCentral","DepTotal","eligible","575","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Nelson Marlborough","DepTotal","eligible","368","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Northland","DepTotal","eligible","608","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","South Canterbury","DepTotal","eligible","163","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Southern","DepTotal","eligible","933","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Tairāwhiti","DepTotal","eligible","191","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Taranaki","DepTotal","eligible","421","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Waikato","DepTotal","eligible","1597","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Wairarapa","DepTotal","eligible","153","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Waitematā","DepTotal","eligible","2026","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","West Coast","DepTotal","eligible","87","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"6 months","Whanganui","DepTotal","eligible","213","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","National Total","DepTotal","eligible","15738","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","Auckland","DepTotal","eligible","1369","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","Bay of Plenty","DepTotal","eligible","877","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","Canterbury","DepTotal","eligible","1793","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","Capital and Coast","DepTotal","eligible","774","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","Counties Manukau","DepTotal","eligible","2209","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
"8 months","Hawkes Bay","DepTotal","eligible","591","1 April 2022 to 30 June 2022 (Excel, 71 KB).xlsx","Deprivation"
