"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Total","eligible","6278","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Bay of Plenty","Total","eligible","3286","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Canterbury","Total","eligible","6643","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Capital & Coast","Total","eligible","4013","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Counties Manukau","Total","eligible","9168","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Hawkes Bay","Total","eligible","2387","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Hutt Valley","Total","eligible","2250","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Lakes","Total","eligible","1786","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Midcentral","Total","eligible","2371","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Nelson Marlborough","Total","eligible","1839","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Northland","Total","eligible","2524","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"South Canterbury","Total","eligible","700","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Southern","Total","eligible","3846","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Tairawhiti","Total","eligible","844","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Taranaki","Total","eligible","1763","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Waikato","Total","eligible","5978","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Wairarapa","Total","eligible","610","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Waitemata","Total","eligible","8176","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"West Coast","Total","eligible","467","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Whanganui","Total","eligible","911","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"National","Total","eligible","65849","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Auckland","Total","full","4959","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Bay of Plenty","Total","full","2301","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Canterbury","Total","full","5586","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Capital & Coast","Total","full","3439","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Counties Manukau","Total","full","6637","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Hawkes Bay","Total","full","2101","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Hutt Valley","Total","full","1873","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Lakes","Total","full","1248","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Midcentral","Total","full","2038","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Nelson Marlborough","Total","full","1541","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Northland","Total","full","1908","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"South Canterbury","Total","full","599","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Southern","Total","full","3334","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Tairawhiti","Total","full","688","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Taranaki","Total","full","1456","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Waikato","Total","full","4214","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Wairarapa","Total","full","546","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
"Waitemata","Total","full","6289","5 Years","1 April 2013 to 31 March 2014 (Excel 2.1 MB).xls","Ethnicity"
